departamento;Saldo Atual;Preço de Custo Médio;Preço de Venda;Preco Custo;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;7;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;7;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
4K;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
5 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
5 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
5 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
5 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
5 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
5 BOCAS;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
5 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
5 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
5 BOCAS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
